Rk,Player,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
113,Jae Crowder\crowdja01,9.9,15.6,1.2,2.0,3.2,.090,-0.9,0.3,-0.6,0.6
113,Jae Crowder\crowdja01,10.9,15.6,0.5,1.4,1.9,.068,-1.4,0.1,-1.2,0.3
113,Jae Crowder\crowdja01,6.0,15.8,0.7,0.6,1.3,.168,0.7,1.1,1.8,0.4
114,Jarrett Culver\culveja01,11.5,19.2,-1.2,1.1,-0.1,-0.004,-3.2,-0.8,-4.0,-0.8
115,Seth Curry\curryse01,9.5,18.6,3.4,0.9,4.3,.144,2.0,-0.7,1.4,1.2
116,Stephen Curry\curryst01,14.6,33.6,0.2,0.1,0.3,.104,4.5,-0.6,3.9,0.2
117,Troy Daniels\danietr01,5.1,16.2,0.2,0.4,0.7,.070,-1.2,-1.0,-2.2,0.0
117,Troy Daniels\danietr01,5.2,16.1,0.3,0.4,0.7,.072,-1.1,-1.0,-2.1,0.0
117,Troy Daniels\danietr01,0.0,43.4,0.0,0.0,0.0,-1.036,-38.4,-22.8,-61.2,0.0
118,Anthony Davis\davisan02,10.1,29.7,6.2,4.1,10.3,.262,5.8,2.8,8.5,5.0
119,Ed Davis\davised01,25.1,8.5,-0.1,0.5,0.4,.074,-5.5,1.7,-3.9,-0.1
120,Terence Davis\daviste02,13.6,18.9,1.4,1.6,3.0,.133,0.7,0.6,1.3,0.9
121,Dewayne Dedmon\dedmode01,17.4,18.2,-1.0,1.1,0.1,.006,-5.8,0.0,-5.8,-0.7
121,Dewayne Dedmon\dedmode01,20.4,18.6,-0.8,0.7,-0.1,-0.005,-6.3,-0.1,-6.4,-0.6
121,Dewayne Dedmon\dedmode01,10.3,17.4,-0.2,0.3,0.2,.032,-4.5,0.1,-4.4,-0.1
122,Matthew Dellavedova\dellama01,23.6,13.0,0.1,0.1,0.2,.010,-3.6,-1.6,-5.2,-0.7
123,DeMar DeRozan\derozde01,11.5,26.6,5.1,1.1,6.2,.143,2.1,-0.5,1.6,1.9
124,Cheick Diallo\diallch01,16.4,16.7,0.8,0.5,1.3,.129,-1.1,-0.3,-1.4,0.1
125,Hamidou Diallo\diallha01,13.4,17.4,-0.6,0.8,0.2,.014,-5.0,0.3,-4.8,-0.5
126,Gorgui Dieng\dienggo01,12.7,17.7,1.1,1.6,2.7,.128,0.0,1.8,1.8,0.9
126,Gorgui Dieng\dienggo01,12.7,18.4,1.0,1.1,2.1,.129,0.3,1.5,1.8,0.7
126,Gorgui Dieng\dienggo01,12.6,15.6,0.2,0.4,0.6,.128,-1.2,2.9,1.7,0.2
127,Spencer Dinwiddie\dinwisp01,12.5,29.2,3.4,1.7,5.1,.123,2.6,-0.8,1.7,1.9
128,Donte DiVincenzo\divindo01,12.9,16.9,1.4,3.1,4.5,.158,-0.6,2.7,2.1,1.4
129,Luka Dončić\doncilu01,14.6,37.0,5.8,2.3,8.1,.215,7.3,1.1,8.4,4.7
130,Luguentz Dort\dortlu01,8.0,13.0,0.2,0.5,0.7,.052,-4.3,0.4,-3.9,-0.3
131,Damyean Dotson\dotsoda01,6.5,16.5,0.6,0.3,0.9,.053,-0.9,-0.5,-1.4,0.1
132,Sekou Doumbouya\doumbse01,12.0,16.9,-0.8,0.5,-0.3,-0.020,-5.2,-1.5,-6.7,-0.9
133,PJ Dozier\doziepj01,10.3,19.8,-0.1,0.2,0.1,.019,-4.4,-0.8,-5.2,-0.2
134,Goran Dragić\dragigo01,14.9,25.7,2.0,1.1,3.0,.095,1.4,-1.9,-0.5,0.6
135,Andre Drummond\drumman01,18.2,25.9,0.7,3.6,4.3,.109,-0.1,1.1,1.0,1.4
135,Andre Drummond\drumman01,18.0,25.5,0.7,3.3,4.0,.116,0.0,1.2,1.1,1.3
135,Andre Drummond\drumman01,19.2,28.7,-0.1,0.3,0.3,.054,-0.8,0.4,-0.5,0.1
136,Jared Dudley\dudleja01,10.5,7.7,0.2,0.4,0.7,.103,-2.7,2.0,-0.7,0.1
137,Kris Dunn\dunnkr01,15.7,14.6,0.3,2.0,2.3,.085,-3.7,3.1,-0.6,0.4
138,Carsen Edwards\edwarca01,11.2,18.1,-0.3,0.4,0.1,.012,-4.6,-0.3,-4.9,-0.2
139,Henry Ellenson\ellenhe01,0.0,19.5,-0.1,0.0,-0.1,-0.180,-7.9,-3.1,-11.0,0.0
140,Wayne Ellington\ellinwa01,9.1,15.0,0.2,0.2,0.4,.035,-1.9,-1.0,-2.8,-0.1
141,Joel Embiid\embiijo01,13.4,32.6,3.2,2.4,5.6,.203,4.1,1.2,5.2,2.4
142,James Ennis\ennisja01,11.6,15.2,0.9,1.2,2.1,.096,-2.1,-0.3,-2.5,-0.1
142,James Ennis\ennisja01,10.9,15.8,0.8,0.9,1.8,.109,-1.6,0.0,-1.6,0.1
142,James Ennis\ennisja01,13.7,13.7,0.1,0.3,0.3,.060,-3.7,-1.3,-5.0,-0.2
143,Drew Eubanks\eubandr01,23.3,14.3,0.2,0.1,0.3,.120,-2.6,-1.0,-3.7,-0.1
144,Jacob Evans\evansja02,14.6,17.5,-0.7,0.2,-0.5,-0.056,-5.7,-1.3,-7.0,-0.5
144,Jacob Evans\evansja02,14.6,17.6,-0.6,0.2,-0.5,-0.054,-5.7,-1.3,-7.0,-0.5
144,Jacob Evans\evansja02,0.0,10.3,0.0,0.0,0.0,-0.264,-10.4,-5.6,-16.0,0.0
145,Dante Exum\exumda01,18.4,15.0,0.2,0.2,0.4,.043,-2.5,-0.4,-2.9,-0.1
145,Dante Exum\exumda01,29.5,17.9,-0.2,0.1,-0.1,-0.054,-5.1,-0.5,-5.6,-0.1
145,Dante Exum\exumda01,15.6,14.4,0.4,0.2,0.5,.063,-1.9,-0.4,-2.3,0.0
146,Tacko Fall\fallta01,18.4,29.0,0.0,0.1,0.1,.102,-2.0,3.1,1.0,0.0
147,Derrick Favors\favorde01,13.3,14.4,2.4,1.4,3.8,.168,0.8,0.4,1.2,0.9
148,Cristiano Felício\feliccr01,21.9,9.1,0.7,0.3,1.0,.126,-1.4,-1.6,-3.0,-0.1
149,Terrance Ferguson\fergute01,12.6,9.0,-0.1,0.8,0.7,.027,-4.5,0.3,-4.1,-0.6
150,Bruno Fernando\fernabr01,15.9,15.3,0.4,0.4,0.8,.055,-3.2,-1.0,-4.1,-0.4
151,Yogi Ferrell\ferreyo01,11.9,18.9,0.1,0.3,0.4,.036,-2.1,-0.4,-2.5,-0.1
152,Dorian Finney-Smith\finnedo01,11.2,12.7,2.9,1.6,4.5,.114,0.0,-0.1,-0.2,0.9
153,Bryn Forbes\forbebr01,8.4,18.6,1.2,0.2,1.5,.045,-0.6,-2.1,-2.7,-0.3
154,Evan Fournier\fournev01,11.1,24.2,2.7,1.7,4.4,.110,1.5,-0.3,1.2,1.6
155,De'Aaron Fox\foxde01,14.6,29.6,2.1,1.3,3.5,.117,2.1,-0.3,1.8,1.4
156,Melvin Frazier\frazime01,13.8,18.5,-0.1,0.1,0.0,.003,-6.0,1.5,-4.5,0.0
